date,meantemp,humidity
2017/1/1,15.91304348,85.86956522
2017/1/2,18.5,77.22222222
2017/1/3,17.11111111,81.88888889
2017/1/4,18.7,70.05
2017/1/5,18.38888889,74.94444444
2017/1/6,19.31818182,79.31818182
2017/1/7,14.70833333,95.83333333
2017/1/8,15.68421053,83.52631579
2017/1/9,14.57142857,80.80952381
2017/1/10,12.11111111,71.94444444
2017/1/11,11,72.11111111
2017/1/12,11.78947368,74.57894737
2017/1/13,13.23529412,67.05882353
2017/1/14,13.2,74.28
2017/1/15,16.43478261,72.56521739
2017/1/16,14.65,78.45
2017/1/17,11.72222222,84.44444444
2017/1/18,13.04166667,78.33333333
2017/1/19,14.61904762,75.14285714
2017/1/20,15.26315789,66.47368421
2017/1/21,15.39130435,70.86956522
2017/1/22,18.44,76.24
2017/1/23,18.11764706,76
2017/1/24,18.34782609,68.13043478
2017/1/25,21,69.96
2017/1/26,16.17857143,91.64285714
2017/1/27,16.5,77.04166667
2017/1/28,14.86363636,82.77272727
2017/1/29,15.66666667,81.77777778
2017/1/30,16.44444444,77.55555556
2017/1/31,16.125,76
2017/2/1,15.25,78.625
2017/2/2,17.09090909,66.54545455
2017/2/3,15.63636364,78.18181818
2017/2/4,18.7,77.6
2017/2/5,18.63157895,77.63157895
2017/2/6,16.88888889,69.66666667
2017/2/7,15.125,63.75
2017/2/8,15.7,68.4
2017/2/9,15.375,68.375
2017/2/10,14.66666667,71.77777778
2017/2/11,15.625,64
2017/2/12,16.25,70.375
2017/2/13,16.33333333,67
2017/2/14,16.875,65.5
2017/2/15,17.57142857,67.71428571
2017/2/16,20.25,56.75
2017/2/17,21.3,64.4
2017/2/18,21.125,70.75
2017/2/19,22.36363636,66.09090909
2017/2/20,23.375,60.125
2017/2/21,21.83333333,69.41666667
2017/2/22,19.125,57.125
2017/2/23,18.625,42.875
2017/2/24,19.125,40.375
2017/2/25,19,50.42857143
2017/2/26,18.75,59
2017/2/27,19.875,58.375
2017/2/28,23.33333333,51.66666667
2017/3/1,24.46153846,47.92307692
2017/3/2,23.75,54.25
2017/3/3,20.5,42.5
2017/3/4,19.125,43.125
2017/3/5,19.75,41.25
2017/3/6,20,42.44444444
2017/3/7,22.625,41.5
2017/3/8,21.54545455,52.72727273
2017/3/9,20.78571429,69.07142857
2017/3/10,19.9375,67.75
2017/3/11,18.53333333,60.4
2017/3/12,17.375,56.625
2017/3/13,17.44444444,49.33333333
2017/3/14,18,56.33333333
2017/3/15,19.875,54.75
2017/3/16,24,49.2
2017/3/17,20.9,59.7
2017/3/18,24.69230769,46.30769231
2017/3/19,24.66666667,52.27777778
2017/3/20,23.33333333,54.66666667
2017/3/21,25,49
2017/3/22,27.25,45
2017/3/23,28,49.75
2017/3/24,28.91666667,37.66666667
2017/3/25,26.5,39.375
2017/3/26,29.1,37.1
2017/3/27,29.5,38.625
2017/3/28,29.88888889,40.66666667
2017/3/29,31,34.5
2017/3/30,29.28571429,36.85714286
2017/3/31,30.625,37.625
2017/4/1,31.375,35.125
2017/4/2,29.75,33.75
2017/4/3,30.5,29.75
2017/4/4,30.93333333,31.86666667
2017/4/5,29.23076923,46
2017/4/6,31.22222222,26
2017/4/7,27,29.875
2017/4/8,25.625,29.375
2017/4/9,27.125,21.125
2017/4/10,27.85714286,19.42857143
2017/4/11,29.25,17.75
2017/4/12,29.25,26
2017/4/13,29.66666667,29.11111111
2017/4/14,30.5,37.625
2017/4/15,31.22222222,30.44444444
2017/4/16,31,34.25
2017/4/17,32.55555556,38.44444444
2017/4/18,34,27.33333333
2017/4/19,33.5,24.125
2017/4/20,34.5,27.5
2017/4/21,34.25,39.375
2017/4/22,32.9,40.9
2017/4/23,32.875,27.5
2017/4/24,32,27.14285714
