date,meantemp,humidity
2013/1/1,10,84.5
2013/1/2,7.4,92
2013/1/3,7.166666667,87
2013/1/4,8.666666667,71.33333333
2013/1/5,6,86.83333333
2013/1/6,7,82.8
2013/1/7,7,78.6
2013/1/8,8.857142857,63.71428571
2013/1/9,14,51.25
2013/1/10,11,62
2013/1/11,15.71428571,51.28571429
2013/1/12,14,74
2013/1/13,15.83333333,75.16666667
2013/1/14,12.83333333,88.16666667
2013/1/15,14.71428571,71.85714286
2013/1/16,13.83333333,86.66666667
2013/1/17,16.5,80.83333333
2013/1/18,13.83333333,92.16666667
2013/1/19,12.5,76.66666667
2013/1/20,11.28571429,75.28571429
2013/1/21,11.2,77
2013/1/22,9.5,79.66666667
2013/1/23,14,60.16666667
2013/1/24,13.83333333,60.66666667
2013/1/25,12.25,67
2013/1/26,12.66666667,64.16666667
2013/1/27,12.85714286,65.57142857
2013/1/28,14.83333333,56
2013/1/29,14.125,65.5
2013/1/30,14.71428571,70.42857143
2013/1/31,16.2,65.6
2013/2/1,16,73
2013/2/2,16.28571429,77.57142857
2013/2/3,18,65.57142857
2013/2/4,17.42857143,74.28571429
2013/2/5,16.625,92.375
2013/2/6,16.66666667,71.33333333
2013/2/7,15.6,59.4
2013/2/8,14,70.42857143
2013/2/9,15.42857143,61.28571429
2013/2/10,15.25,71.5
2013/2/11,15.875,70.5
2013/2/12,15.33333333,70.33333333
2013/2/13,16.28571429,70.14285714
2013/2/14,17.33333333,63.83333333
2013/2/15,19.16666667,65.33333333
2013/2/16,14.42857143,92.71428571
2013/2/17,13.66666667,90
2013/2/18,15.6,78.4
2013/2/19,15.85714286,82
2013/2/20,17.71428571,74.71428571
2013/2/21,20,67.28571429
2013/2/22,20.5,65.625
2013/2/23,17.42857143,74.85714286
2013/2/24,16.85714286,78.85714286
2013/2/25,16.875,72.875
2013/2/26,17.85714286,70
2013/2/27,20.8,57.2
2013/2/28,19.42857143,52.85714286
2013/3/1,17.33333333,49.33333333
2013/3/2,19,54
2013/3/3,19.33333333,62.83333333
2013/3/4,17.6,71
2013/3/5,20.875,61.875
2013/3/6,20.85714286,65.28571429
2013/3/7,23.42857143,57.14285714
2013/3/8,24.16666667,44.83333333
2013/3/9,25.42857143,49.71428571
2013/3/10,23.14285714,57.57142857
2013/3/11,24,66.33333333
2013/3/12,23.5,62.5
2013/3/13,21.5,70.5
2013/3/14,22.33333333,61.16666667
2013/3/15,24.16666667,45.83333333
2013/3/16,20.33333333,67.66666667
2013/3/17,22.66666667,58.66666667
2013/3/18,23.42857143,58.14285714
2013/3/19,22.5,73.66666667
2013/3/20,29.16666667,36.33333333
2013/3/21,23.83333333,58.5
2013/3/22,25.25,50.25
2013/3/23,27.375,50.125
2013/3/24,27,48.75
2013/3/25,23.5,45.5
2013/3/26,24.14285714,44.57142857
2013/3/27,21,62
2013/3/28,22.42857143,62.71428571
2013/3/29,21.25,70.375
2013/3/30,23.5,54.75
2013/3/31,23.2,58
2013/4/1,25.375,45.5
2013/4/2,25.16666667,51
2013/4/3,26.2,45.6
2013/4/4,24.6,41.8
2013/4/5,25.6,31
2013/4/6,25.85714286,29.85714286
2013/4/7,29.14285714,23.28571429
2013/4/8,28.71428571,33.85714286
2013/4/9,30.16666667,30.5
2013/4/10,30,28
2013/4/11,30,24.2
2013/4/12,28.85714286,32.57142857
2013/4/13,30.2,29.2
2013/4/14,28.25,39.375
2013/4/15,28.25,41.375
2013/4/16,32.125,24.625
2013/4/17,29.2,24.2
2013/4/18,30.28571429,30.28571429
2013/4/19,28.28571429,31.28571429
2013/4/20,30.625,29
2013/4/21,27.66666667,38.66666667
2013/4/22,27.375,45.375
2013/4/23,28.625,44.125
2013/4/24,30.28571429,41.71428571
2013/4/25,31.14285714,38.28571429
2013/4/26,29.875,45.875
2013/4/27,31.14285714,31.42857143
2013/4/28,30.57142857,28
2013/4/29,32.125,26.375
2013/4/30,31.14285714,32
2013/5/1,31.85714286,15.85714286
2013/5/2,29.83333333,22.16666667
2013/5/3,28.57142857,31.57142857
2013/5/4,32.85714286,31.42857143
2013/5/5,32.625,31.125
2013/5/6,32.75,39.25
2013/5/7,32.875,33.25
2013/5/8,34.5,23
2013/5/9,34.28571429,26
2013/5/10,34,27.71428571
2013/5/11,30.75,30.375
2013/5/12,29.85714286,40.14285714
2013/5/13,31.71428571,34
2013/5/14,32.28571429,34.28571429
2013/5/15,33,33
2013/5/16,33,34.75
2013/5/17,32.83333333,28.16666667
2013/5/18,31.4,42.2
2013/5/19,35.33333333,22.33333333
2013/5/20,36.4,24.2
2013/5/21,36,19
2013/5/22,36.75,22.125
2013/5/23,37.5,23.33333333
2013/5/24,38.42857143,27.42857143
2013/5/25,38.71428571,22.42857143
2013/5/26,37.8,21.2
